phase,project,model,run,functional_score,non_functional_score,maintainability,security,robustness,performance,resource,perf_elapsed_time_s,avg_memory_mb,avg_cpu_percent,high_risk_count,mi_min,robust_passed,robust_total,repo_path,task_yaml,package_name
reruns,Celery,gemini-3-pro-preview,1,1.0,0.6289,0.0,1.0,1.0,0.9092,0.9983,4.145383,44.51,98.6,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gemini-3-pro-preview,2,1.0,0.6303,0.0,1.0,1.0,0.9191,1.0,4.100668,43.86,98.3,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gemini-3-pro-preview,3,1.0,0.6276,0.0,1.0,1.0,0.903,0.9937,4.174056,44.79,99.5,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gemini-3-pro-preview,4,1.0,0.6305,0.0,1.0,1.0,0.9234,0.9976,4.081684,44.57,99.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gemini-3-pro-preview,5,1.0,0.6279,0.0,1.0,1.0,0.9019,0.9972,4.178886,44.61,97.8,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,claude-4.5-sonnet,1,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.547601,32.57,96.8,0,0.0,0,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,claude-4.5-sonnet,2,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.590189,31.84,96.8,0,0.0,0,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,claude-4.5-sonnet,3,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.618551,32.0,102.2,0,0.0,0,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,claude-4.5-sonnet,4,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.57787,31.95,100.0,0,0.0,0,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,claude-4.5-sonnet,5,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.554416,32.06,96.9,0,0.0,0,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Click,gpt-5.2,1,1.0,0.4,0.0,1.0,1.0,0.0,0.0,1.915971,37.81,101.8,0,0.0,1,1,D:\桌面\RAL-Bench\generation\gpt-5.2\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gpt-5.2,2,1.0,0.4,0.0,1.0,1.0,0.0,0.0,1.77216,38.43,99.0,0,0.0,1,1,D:\桌面\RAL-Bench\generation\gpt-5.2\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gpt-5.2,3,1.0,0.4,0.0,1.0,1.0,0.0,0.0,1.745801,38.48,98.1,0,0.0,1,1,D:\桌面\RAL-Bench\generation\gpt-5.2\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gpt-5.2,4,1.0,0.4,0.0,1.0,1.0,0.0,0.0,1.85195,38.08,100.0,0,0.0,1,1,D:\桌面\RAL-Bench\generation\gpt-5.2\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gpt-5.2,5,1.0,0.4,0.0,1.0,1.0,0.0,0.0,1.81099,37.55,96.2,0,0.0,1,1,D:\桌面\RAL-Bench\generation\gpt-5.2\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gemini-3-pro-preview,1,0.1818,0.24,0.0,1.0,0.0,0.0,0.0,1.722313,37.68,99.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gemini-3-pro-preview,2,0.1818,0.24,0.0,1.0,0.0,0.0,0.0,1.778255,38.68,98.1,0,0.0,0,1,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gemini-3-pro-preview,3,0.1818,0.24,0.0,1.0,0.0,0.0,0.0,1.742272,37.84,101.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gemini-3-pro-preview,4,0.1818,0.24,0.0,1.0,0.0,0.0,0.0,1.827511,38.47,100.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,gemini-3-pro-preview,5,0.1818,0.24,0.0,1.0,0.0,0.0,0.0,1.857864,37.5,101.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,claude-4.5-sonnet,1,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.740829,38.58,100.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,claude-4.5-sonnet,2,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.739192,38.12,98.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,claude-4.5-sonnet,3,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.796601,37.73,100.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,claude-4.5-sonnet,4,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.870805,38.17,100.0,0,0.0,0,1,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Click,claude-4.5-sonnet,5,0.0,0.24,0.0,1.0,0.0,0.0,0.0,1.850302,37.43,100.9,0,0.0,0,1,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Click,D:\桌面\RAL-Bench\tasks\Click\click.yaml,click
reruns,Cmd2,gpt-5.2,1,1.0,0.24,0.0,1.0,0.0,0.0,0.0,1.797888,38.33,97.0,0,0.0,0,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gpt-5.2,2,1.0,0.24,0.0,1.0,0.0,0.0,0.0,1.791604,38.37,100.0,0,0.0,0,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gpt-5.2,3,1.0,0.24,0.0,1.0,0.0,0.0,0.0,1.810971,38.05,99.0,0,0.0,0,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gpt-5.2,4,1.0,0.24,0.0,1.0,0.0,0.0,0.0,1.781479,37.69,101.0,0,0.0,0,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gpt-5.2,5,1.0,0.24,0.0,1.0,0.0,0.0,0.0,1.815502,38.5,100.0,0,0.0,0,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gemini-3-pro-preview,1,0.5455,0.4,0.0,1.0,1.0,0.0,0.0,1.81788,37.51,99.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gemini-3-pro-preview,2,0.5455,0.4,0.0,1.0,1.0,0.0,0.0,1.768009,37.48,101.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gemini-3-pro-preview,3,0.5455,0.4,0.0,1.0,1.0,0.0,0.0,1.771501,38.13,101.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gemini-3-pro-preview,4,0.5455,0.4,0.0,1.0,1.0,0.0,0.0,1.719875,38.22,99.1,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,gemini-3-pro-preview,5,0.5455,0.4,0.0,1.0,1.0,0.0,0.0,1.798228,37.95,97.2,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,claude-4.5-sonnet,1,0.7273,0.4,0.0,1.0,1.0,0.0,0.0,1.711136,37.9,99.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,claude-4.5-sonnet,2,0.7273,0.4,0.0,1.0,1.0,0.0,0.0,1.776821,37.37,101.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,claude-4.5-sonnet,3,0.7273,0.4,0.0,1.0,1.0,0.0,0.0,1.766898,37.44,99.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,claude-4.5-sonnet,4,0.7273,0.4,0.0,1.0,1.0,0.0,0.0,1.792128,38.55,100.9,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Cmd2,claude-4.5-sonnet,5,0.7273,0.4,0.0,1.0,1.0,0.0,0.0,1.788543,38.09,96.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cmd2,D:\桌面\RAL-Bench\tasks\Cmd2\cmd2.yaml,cmd2
reruns,Dataset,gpt-5.2,1,0.6364,0.6522,0.7005,1.0,1.0,0.0,0.0,1.837238,36.2,96.2,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gpt-5.2,2,0.6364,0.6522,0.7005,1.0,1.0,0.0,0.0,1.733478,36.61,100.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gpt-5.2,3,0.6364,0.6522,0.7005,1.0,1.0,0.0,0.0,1.754332,36.55,100.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gpt-5.2,4,0.6364,0.6522,0.7005,1.0,1.0,0.0,0.0,1.761887,35.58,97.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gpt-5.2,5,0.6364,0.6522,0.7005,1.0,1.0,0.0,0.0,1.807362,36.32,99.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gemini-3-pro-preview,1,0.0,0.655,0.7084,1.0,1.0,0.0,0.0,1.697396,35.77,97.4,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gemini-3-pro-preview,2,0.0,0.655,0.7084,1.0,1.0,0.0,0.0,1.682084,36.41,99.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gemini-3-pro-preview,3,0.0,0.655,0.7084,1.0,1.0,0.0,0.0,1.667493,36.16,99.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gemini-3-pro-preview,4,0.0,0.655,0.7084,1.0,1.0,0.0,0.0,1.920862,36.82,102.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,gemini-3-pro-preview,5,0.0,0.655,0.7084,1.0,1.0,0.0,0.0,1.77014,35.72,98.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,claude-4.5-sonnet,1,0.5455,0.6607,0.724,1.0,1.0,0.0,0.0,1.725994,36.34,99.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,claude-4.5-sonnet,2,0.5455,0.6607,0.724,1.0,1.0,0.0,0.0,1.773021,36.4,101.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,claude-4.5-sonnet,3,0.5455,0.6607,0.724,1.0,1.0,0.0,0.0,1.830577,35.31,98.2,0,0.0,6,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,claude-4.5-sonnet,4,0.5455,0.6607,0.724,1.0,1.0,0.0,0.0,1.93968,36.0,101.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dataset,claude-4.5-sonnet,5,0.5455,0.6607,0.724,1.0,1.0,0.0,0.0,1.774603,35.96,98.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Dataset,D:\桌面\RAL-Bench\tasks\Dataset\dataset.yaml,dataset
reruns,Dateutil,gpt-5.2,1,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.806685,35.3,98.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
reruns,Dateutil,gpt-5.2,2,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.680477,36.07,97.1,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
reruns,Dateutil,gpt-5.2,3,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.706958,35.3,99.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
reruns,Dateutil,gpt-5.2,4,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.659549,35.96,99.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
reruns,Dateutil,gpt-5.2,5,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.677775,35.21,97.0,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
reruns,Dateutil,gemini-3-pro-preview,1,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.759232,36.46,97.2,0,0.0,6,6,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Dateutil,D:\桌面\RAL-Bench\tasks\Dateutil\dateutil.yaml,dateutil
